element,id,amenity,operator,brand,cash_in,opening_hours,target,cafe_300,restaurant_300,pharmacy_300,shop_300,bus_stop_300,cafe_500,restaurant_500,pharmacy_500,shop_500,bus_stop_500,poi_sum_300,poi_sum_500
node,408385048.0,atm,ПАО Сбербанк,Сбербанк,,24/7,1,0,0,1,1,1,2,0,1,4,3,3,10
node,432502063.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,11,2,6,5,2,29,4,11,6,4,26,54
node,444776906.0,atm,Альфа-Банк,Альфа-Банк,,,1,0,0,0,0,0,11,3,1,2,2,0,19
node,444776911.0,atm,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",,,Mo-Su 09:00-23:00,1,1,0,2,1,4,2,0,2,6,4,8,14
node,444776938.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,6,1,1,0,0,13,2,1,1,3,8,20
node,444776945.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,1,0,1,1,1,2,2,5,5,6,4,20
node,444776962.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,1,1,3,5,5,3,6,7,10,12,15,38
node,482846851.0,atm,ПАО Сбербанк,Сбербанк,yes,,1,0,0,0,2,2,0,0,2,4,5,4,11
node,514169772.0,atm,Райффайзен,Райффайзен,,,1,0,0,1,0,2,0,0,1,2,5,3,8
node,583279749.0,atm,ПАО Сбербанк,Сбербанк,yes,,1,4,0,1,3,2,4,0,1,3,4,10,12
node,583279788.0,atm,ПАО Сбербанк,Сбербанк,,,1,3,0,1,2,1,4,0,1,3,4,7,12
node,583279861.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,4,1,2,7,3,13,3,5,9,8,17,38
node,588069762.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,6,3,0,1,2,15,7,4,4,6,12,36
node,614958544.0,atm,ПАО Сбербанк,Сбербанк,yes,24/7,1,1,0,2,1,5,5,3,4,7,7,9,26
node,614980357.0,atm,ПАО Сбербанк,Сбербанк,yes,24/7,1,1,0,2,1,5,5,3,5,7,7,9,27
node,618112479.0,atm,Сбербанк,Сбербанк,yes,,1,2,0,4,4,2,2,0,5,6,3,12,16
node,618112491.0,atm,,,,,1,0,1,2,2,3,1,1,5,6,4,8,17
node,619491827.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,,1,0,1,0,1,3,0,1,2,1,3,5,7
node,619491828.0,atm,ПАО Сбербанк,Сбербанк,,,1,0,1,0,1,2,0,1,2,1,3,4,7
node,627937161.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,,1,7,1,0,1,0,11,5,1,6,0,9,23
